date,followers,followers_growth,username,channel,link_profile
2019-05-06,37148,12,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-07,37153,5,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-08,37201,48,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-09,37225,24,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-10,37272,47,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-11,37298,26,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-12,37302,4,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-13,37322,20,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-14,37342,20,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-15,37362,20,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-16,37377,15,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-17,37402,25,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-18,37437,35,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-19,37457,20,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-20,37462,5,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-21,37470,8,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-22,37485,15,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-23,37495,10,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-24,37506,11,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-25,37506,0,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-26,37506,0,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-27,37526,20,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-28,37524,-2,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-29,37523,-1,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-30,37536,13,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-31,37545,9,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
